rank,parameters,mean_cv_f1,std_cv_f1,mean_cv_roc_auc,std_cv_roc_auc,rank_f1,rank_roc_auc
1,"{'model__C': 1, 'model__gamma': 'scale'}",1.0,0.0,1.0,0.0,1,1
2,"{'model__C': 1, 'model__gamma': 'auto'}",1.0,0.0,1.0,0.0,1,1
3,"{'model__C': 10, 'model__gamma': 'scale'}",1.0,0.0,1.0,0.0,1,1
4,"{'model__C': 10, 'model__gamma': 'auto'}",1.0,0.0,1.0,0.0,1,1
5,"{'model__C': 10, 'model__gamma': 0.1}",1.0,0.0,1.0,0.0,1,1
6,"{'model__C': 100, 'model__gamma': 'scale'}",1.0,0.0,1.0,0.0,1,1
7,"{'model__C': 100, 'model__gamma': 'auto'}",1.0,0.0,1.0,0.0,1,1
8,"{'model__C': 100, 'model__gamma': 0.1}",1.0,0.0,1.0,0.0,1,1
9,"{'model__C': 100, 'model__gamma': 0.01}",0.998984771573604,0.0020304568527918843,1.0,0.0,9,1
10,"{'model__C': 1, 'model__gamma': 0.1}",0.994933954933955,0.004517415962746111,1.0,0.0,10,1
11,"{'model__C': 0.1, 'model__gamma': 'scale'}",0.9898781678716888,0.004494677794393121,1.0,0.0,11,1
12,"{'model__C': 0.1, 'model__gamma': 'auto'}",0.9898781678716888,0.004494677794393121,1.0,0.0,11,1
13,"{'model__C': 10, 'model__gamma': 0.01}",0.9859491941844002,0.008591738562292254,1.0,0.0,13,1
14,"{'model__C': 100, 'model__gamma': 0.001}",0.9849235531587592,0.007014525201401885,0.9998148532064676,0.00014527406745663615,14,15
15,"{'model__C': 0.1, 'model__gamma': 0.1}",0.981986950511841,0.009036074128239232,0.9998989421693978,0.0001350328487073964,15,14
16,"{'model__C': 1, 'model__gamma': 0.01}",0.9770134706551561,0.004946969016727262,0.9997980567924312,0.00023017903019495955,16,16
17,"{'model__C': 10, 'model__gamma': 0.001}",0.9769414198596694,0.007283126710730885,0.9994954334419752,0.0003242472657099307,17,17
18,"{'model__C': 1, 'model__gamma': 0.001}",0.9063462275572449,0.024542346088517325,0.9836584245895738,0.006182327959349059,18,18
19,"{'model__C': 0.1, 'model__gamma': 0.01}",0.9021779480843296,0.026274492827726793,0.9815250633710102,0.006762237674440037,19,19
20,"{'model__C': 0.1, 'model__gamma': 0.001}",0.0,0.0,0.9448709723275195,0.019611065944987207,20,20
